User's manual r01uh0896ej0130-rl78g23; Version 1.00; February 20, 2024
RegisterName,RegisterBookmark,RegisterTableCaption,NumberOfAppearance,ModuleInformation,SearchKey
ADM2,12.3.5 A/D converter mode register 2 (ADM2),Figure12-8FormatofA/DConverterModeRegister2(ADM2)(1/2),,,
ADTYP0,12.3.5 A/D converter mode register 2 (ADM2),Figure12-8FormatofA/DConverterModeRegister2(ADM2)(2/2),1,,ADTYP1
ADTYP1,12.3.5 A/D converter mode register 2 (ADM2),Figure12-8FormatofA/DConverterModeRegister2(ADM2)(2/2),1,,
AWC,12.3.5 A/D converter mode register 2 (ADM2),Figure12-8FormatofA/DConverterModeRegister2(ADM2)(2/2),1,,
ADRCK,12.3.5 A/D converter mode register 2 (ADM2),Figure12-8FormatofA/DConverterModeRegister2(ADM2)(2/2),1,,
ADUL,12.3.9 Conversion result comparison upper limit setting register (ADUL),Figure12-13FormatofConversionResultComparisonUpperLimitSettingRegister(ADUL),,,
ADLL,12.3.10 Conversion result comparison lower limit setting register (ADLL),Figure12-14FormatofConversionResultComparisonLowerLimitSettingRegister(ADLL),,,
ADTES,12.3.11 A/D test register (ADTES),Figure12-15FormatofA/DTestRegister(ADTES),,A/D Converter (ADC),
ADTES,27.3.10 Testing of the A/D converter,Figure27-20FormatofA/DTestRegister(ADTES),,Safety Functions,
ADCR0,12.3.6 12-bit/10-bit A/D conversion result register (ADCRn),Figure12-10Formatof12-bit/10-bitA/DConversionResultRegister(ADCRn),,,
ADCR0H,12.3.7 8-bit A/D conversion result register (ADCRnH),Figure12-11Formatof8-bitA/DConversionResultRegister(ADCRnH),,,
ADCR1,12.3.6 12-bit/10-bit A/D conversion result register (ADCRn),Figure12-10Formatof12-bit/10-bitA/DConversionResultRegister(ADCRn),,,
ADCR1H,12.3.7 8-bit A/D conversion result register (ADCRnH),Figure12-11Formatof8-bitA/DConversionResultRegister(ADCRnH),,,
ADCR2,12.3.6 12-bit/10-bit A/D conversion result register (ADCRn),Figure12-10Formatof12-bit/10-bitA/DConversionResultRegister(ADCRn),,,
ADCR2H,12.3.7 8-bit A/D conversion result register (ADCRnH),Figure12-11Formatof8-bitA/DConversionResultRegister(ADCRnH),,,
ADCR3,12.3.6 12-bit/10-bit A/D conversion result register (ADCRn),Figure12-10Formatof12-bit/10-bitA/DConversionResultRegister(ADCRn),,,
ADCR3H,12.3.7 8-bit A/D conversion result register (ADCRnH),Figure12-11Formatof8-bitA/DConversionResultRegister(ADCRnH),,,
PU0,4.3.3 Pull-up resistor option registers (PUxx),Figure4-3FormatofPull-upResistorOptionRegisters(PUxx),,,
PU1,4.3.3 Pull-up resistor option registers (PUxx),Figure4-3FormatofPull-upResistorOptionRegisters(PUxx),,,
PU3,4.3.3 Pull-up resistor option registers (PUxx),Figure4-3FormatofPull-upResistorOptionRegisters(PUxx),,,
PU4,4.3.3 Pull-up resistor option registers (PUxx),Figure4-3FormatofPull-upResistorOptionRegisters(PUxx),,,
PU5,4.3.3 Pull-up resistor option registers (PUxx),Figure4-3FormatofPull-upResistorOptionRegisters(PUxx),,,
PU6,4.3.3 Pull-up resistor option registers (PUxx),Figure4-3FormatofPull-upResistorOptionRegisters(PUxx),,,
PU7,4.3.3 Pull-up resistor option registers (PUxx),Figure4-3FormatofPull-upResistorOptionRegisters(PUxx),,,
PU8,4.3.3 Pull-up resistor option registers (PUxx),Figure4-3FormatofPull-upResistorOptionRegisters(PUxx),,,
PU9,4.3.3 Pull-up resistor option registers (PUxx),Figure4-3FormatofPull-upResistorOptionRegisters(PUxx),,,
PU10,4.3.3 Pull-up resistor option registers (PUxx),Figure4-3FormatofPull-upResistorOptionRegisters(PUxx),,,
PU11,4.3.3 Pull-up resistor option registers (PUxx),Figure4-3FormatofPull-upResistorOptionRegisters(PUxx),,,
PU12,4.3.3 Pull-up resistor option registers (PUxx),Figure4-3FormatofPull-upResistorOptionRegisters(PUxx),,,
